damage,killed,reward
0.0,False,-200
4,False,-192
0.0,False,-200
0.0,False,-200
0.0,False,-200
10,False,-180
14,False,-172
16,False,-168
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
16,False,-168
10,False,-180
6,False,-188
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
6,False,-188
0.0,False,-200
18,False,-164
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
10,False,-180
28,False,-144
16,False,-168
12,False,-176
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
16,False,-168
26,False,-148
14,False,-172
15,False,-170
0.0,False,-200
0.0,False,-200
34,False,-132
99,False,125
36,False,-128
0.0,False,-200
8,False,-184
10,False,-180
22,False,-156
0.0,False,-200
4,False,-192
0.0,False,-200
26,False,-148
6,False,-188
45,False,-110
6,False,-188
0.0,False,-200
0.0,False,-200
10,False,-180
10,False,-180
0.0,False,-200
0.0,False,-200
18,False,-164
0.0,False,-200
0.0,False,-200
29,False,-162
0.0,False,-200
8,False,-184
8,False,-184
6,False,-188
0.0,False,-270
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
6,False,-188
0.0,False,-200
0.0,False,-200
12,False,-176
31,False,-138
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
0.0,False,-200
6,False,-188
0.0,False,-220
16,False,-168
0.0,False,-200
27,False,-146
0.0,False,-200
4,False,-192
0.0,False,-200
0.0,False,-200
